17200 57378
56775 36 406
33509 203 450
2660 349 423
29975 604 662
56285 225 467
33839 209 631
35513 164 670
2789 39 674
22714 379 595
54905 541 585
27101 64 99
46662 48 520
49126 261 374
12961 119 620
55814 207 279
10547 216 543
33983 249 439
13561 3 675
1320 228 321
42287 63 97
8984 547 548
8142 80 683
7838 141 424
645 16 353
7740 196 302
50430 95 153
2829 48 338
33813 144 349
53450 413 670
40283 77 285
2983 202 692
21248 255 466
20613 570 656
46087 18 273
3291 503 604
27280 397 612
33990 2 57
7373 595 681
508 144 611
44811 334 402
40125 564 645
49613 411 679
23658 346 464
33960 478 524
20839 96 541
35663 337 599
34597 154 305
37271 1 16
27609 97 425
10933 92 238
29754 447 667
18405 274 564
31574 195 371
29185 51 97
10725 455 540
7673 300 440
34644 196 529
48707 541 678
46188 178 384
44704 146 552
45621 365 606
24010 149 160
34021 180 288
45051 94 434
21732 418 678
50826 320 545
4844 178 474
30896 165 264
20865 345 424
29479 176 624
24887 109 129
38138 614 688
28011 124 550
40228 176 224
18691 478 492
14550 352 636
48091 7 541
57341 295 573
25224 235 324
46869 127 585
41539 132 447
23990 79 318
401 370 606
13229 68 295
48315 255 545
46754 41 225
2941 198 342
56352 555 653
46463 2 411
23992 332 386
10455 83 116
28488 141 508
18251 335 522
13385 209 278
15278 80 161
19516 281 670
39497 83 285
51455 36 360
47145 515 585
21853 383 429
54449 52 173
37948 361 479
25668 306 474
4622 119 527
9983 243 399
24208 517 544
100 234 406
34439 264 637
4315 477 561
21902 361 528
41751 299 490
55975 143 457
31338 167 575
1583 372 401
42675 73 172
1103 113 249
30183 249 382
54182 613 671
19476 145 529
31510 466 621
26159 54 130
26232 157 228
11369 67 367
42251 136 263
12484 557 673
38069 74 421
46180 18 403
38229 162 416
28264 430 468
18556 429 533
13760 65 633
10624 58 150
7067 3 249
27675 49 387
54134 4 584
30481 261 477
46599 492 664
29252 13 665
20224 235 365
16357 282 389
33414 375 423
55974 290 333
30614 459 550
13172 398 557
33954 82 458
2692 348 386
19203 198 306
14078 545 601
3363 448 461
20113 494 661
18383 201 406
19780 103 216
43579 73 232
50636 546 691
41894 102 658
45821 55 313
45328 59 383
14371 426 665
35966 337 393
600 115 635
55073 352 638
41276 581 631
17341 156 170
50247 256 568
26097 363 378
24320 333 340
35583 275 318
25653 242 675
32289 208 303
43212 398 638
817 46 277
33888 562 588
24065 233 656
17224 19 502
36304 352 660
36157 196 367
46011 120 455
27744 46 445
8366 503 655
20724 261 658
17530 103 617
271 258 671
9204 254 364
31577 248 458
14130 29 115
31050 474 510
16314 157 262
49517 279 343
45942 73 163
7553 106 216
153 36 678
57183 237 328
41022 68 633
26989 99 199
1774 282 463
